"","name","fcs.well","FSC-A","FSC-W","FSC-H","SSC-A","SSC-W","SSC-H","hA PE 582/15 561nm-A","CD21 PE-cy7 780/60 561nm-A","CD38 BV421 450/50 405nm-A","CD20 BV605 610/20 405nm-A","CD27 BV711 710/50 405nm-A","hA APC 670/30 640nm-A","DUMP APC-ef780 780/60 640nm-A","SA BUV395 379/28 355nm-A","CD19 BUV496_515-30 450/50 355nm-A","IgD BUV737 740/35 355nm-A","CD71 FITC 530/30 488nm-A","Time","XLoc","YLoc","day","sampleID","age.group","fcs.XLoc","fcs.YLoc","lib.name","lib.well"
"1","501T_d0_INX_501T_d0_001_015.fcs","D1",74579.515625,78380.3671875,62358,33862.0078125,82898.0390625,26770,3.17706681721065,2.98028958252961,1.37014748810718,2.45493021235005,1.54222505206286,2.54402744411622,0.822407560653504,0.258560820657531,2.0428310989834,0.775025547215817,0.592341383744979,65256.1015625,3,0,"0","501T","young",3,0,NA,NA
"2","501T_d0_INX_501T_d0_001_015.fcs","D2",69469.4375,78359.21875,58101,36164.51953125,97840.078125,24224,3.64496534411331,2.98498977978657,1.51799308926777,2.15004521729347,1.4774398141697,3.06045240614341,0.73589547537359,0.818015562052814,2.11799079287587,0.792861303313676,0.706154131905719,66137.1015625,3,1,"0","501T","young",3,1,NA,NA
"3","501T_d0_INX_637R_d0_001_014.fcs","A1",86019.8359375,81665.8828125,69030,31939.23046875,92389.1875,22656,2.77320942584853,2.50380016590507,0.901949007863227,2.73839530621005,1.0242593448278,2.01987517243486,0.776224392059465,0.963035787614515,2.22082017739927,0.912291097406961,1.03100494432822,3585.89990234375,0,0,"0","501T","young",0,0,"lib190910","A1"
"4","501T_d0_INX_637R_d0_001_014.fcs","A2",81958.078125,80902.6015625,66391,21388.0703125,85829.9296875,16331,3.36575527434208,1.6955461814547,0.816665773196228,2.61214742828261,0.739574754209505,2.64369889996008,0.837143938205325,0.795440846219404,2.00664234901365,0.582080161881033,0.924736412634504,5870.10009765625,0,1,"0","501T","young",0,1,"lib190910","A2"
"5","501T_d0_INX_637R_d0_001_014.fcs","B1",83165.7578125,82681.3046875,65920,37485.3203125,94591.578125,25971,3.46171268558261,3.08334875975028,1.70833922340427,2.30154574405713,1.90681515995192,2.79937026370328,1.01076480404007,0.716240714235839,2.16026754518925,0.678771248993351,1.07150244012602,23678.19921875,1,0,"0","501T","young",1,0,"lib190910","B1"
"6","501T_d0_INX_637R_d0_001_014.fcs","B2",84425.28125,82125.765625,67371,34701.48046875,93457.5625,24334,3.87434698116543,2.95274688793436,1.85890781908767,2.08971297168013,1.36553075116638,3.25635179812324,0.877697886124879,0.751812985488372,2.19747749069387,0.386963891079074,1.59034439481194,20554.80078125,1,1,"0","501T","young",1,1,"lib190910","B2"
"7","501T_d0_INX_637R_d0_001_014.fcs","C1",94779.8359375,84850.6484375,73205,49131.21875,99424.53125,32385,3.32487183878092,3.37087827124554,1.69150785130175,2.07318366758247,1.83288839437095,2.70356330599094,0.674716431345649,1.09705976024132,2.12426933434956,0.62748203598982,1.62541330829826,25297.099609375,2,0,"0","501T","young",2,0,"lib190910","C1"
"8","501T_d0_INX_637R_d0_001_014.fcs","C2",111224.640625,89471.1875,81470,54104.5390625,102225.5390625,34686,3.08056424610815,2.75772244555134,0.88875259320806,2.5003589879007,2.08645474728052,2.29812681674294,0.682421822548286,0.775557629041643,1.99116279134228,2.88831592770827,1.12881901101485,28599.099609375,2,1,"0","501T","young",2,1,"lib190910","C2"
"9","501T_d0_INX_637R_d0_001_014.fcs","D1",112820.15625,94304.8359375,78403,63146.9375,100843.0625,41038,3.58338043257299,2.53245119008627,1.49449716027426,2.58724672842137,1.9884275966184,2.84929431904751,0.747759515099974,1.24169043979102,2.30459227416608,3.13682449224446,2.0679326933951,31692.19921875,3,0,"0","501T","young",3,0,"lib190910","D1"
"10","501T_d0_INX_637R_d0_001_014.fcs","D2",83306.875,80588.0546875,67747,31408.369140625,93537.171875,22006,2.98500450055712,3.0661824432337,1.75042917451881,2.36550369773691,0.520018340623603,2.302632318533,0.466355347778316,0.434586983601191,2.12725010042892,2.99527257829449,1.25300864102593,30610,3,1,"0","501T","young",3,1,"lib190910","D2"
"11","501T_d0_INX_637R_d0_001_014.fcs","E1",102243.8359375,84515.625,79283,46073.05859375,99589.171875,30319,3.61769954758416,3.27649238847932,1.00721426486457,1.5307389503419,1.47165748695793,2.93312897966704,0.545885700018446,1.17892497775109,1.80280387414064,0.903871840360751,1.65958497454732,40230.69921875,4,0,"0","501T","young",4,0,"lib190910","E1"
"12","501T_d0_INX_637R_d0_001_014.fcs","E2",89131.1953125,84975.5234375,68741,44734.48046875,105400.6484375,27815,3.41364024062122,2.437086115961,1.11297637024173,2.52511220673495,1.7535454841429,2.73997538116278,0.203324093157882,0.339465390183019,2.23174672059774,3.13738308305023,1.72181501354331,47423.80078125,4,1,"0","501T","young",4,1,"lib190910","E2"
"13","501T_d0_INX_637R_d0_001_014.fcs","F1",97219.1953125,84278.328125,75599,33299.3984375,99844.875,21857,3.72836577095109,3.25007010218403,1.28923115869032,2.39314260409724,1.79663632199504,3.02470729067529,0.766863295287005,0.878958469260283,1.81928706929795,0.155236319886475,0.994251473201802,49945.30078125,5,0,"0","501T","young",5,0,"lib190910","F1"
"14","501T_d0_INX_637R_d0_001_014.fcs","F2",87436.796875,83712.0625,68452,40156.12890625,90856.9609375,28965,3.03501348281415,1.85480689021888,1.09679273218155,2.68627962004077,0.199791495370481,2.3384470273141,1.28162669738305,0.975376948063758,2.17992442890812,1.08103020700828,1.25887392883402,49259.6015625,5,1,"0","501T","young",5,1,"lib190910","F2"
"15","501T_d0_INX_637R_d0_001_014.fcs","G1",74340.4765625,78618.3203125,61970,29552.900390625,82740.046875,23408,2.9761156896077,2.72446226546626,2.09769491780382,2.0190507237263,0.549092522438914,2.51747677814232,0.683288443534574,0.444542402933882,1.75055694754078,2.33911791303819,0.506609252856163,50664.19921875,6,0,"0","501T","young",6,0,"lib190910","G1"
"16","501T_d0_INX_637R_d0_001_014.fcs","G2",90380.15625,90570.8671875,65398,56515,96881.171875,38230,2.94374036281472,0.85885471268982,0.828726398928121,2.9479062090702,1.88620644049114,2.29990228096458,1.16618115217398,0.758724177588827,2.20032928377708,0.729245437619583,1.61399719409499,52231,6,1,"0","501T","young",6,1,"lib190910","G2"
"17","501T_d0_INX_637R_d0_001_014.fcs","H1",86327.0390625,79738.5390625,70951,31810.958984375,90962.21875,22919,3.83836857746564,2.42101980153432,0.95250473513364,2.60316196264072,1.84597057183832,3.18484092700362,1.11412463324025,0.669932001711594,2.1669512258657,0.181955163190436,1.37289910423691,60491.5,7,0,"0","501T","young",7,0,"lib190910","H1"
"18","501T_d0_INX_637R_d0_001_014.fcs","H2",88347.8359375,80196.7421875,72197,39931.33984375,90395.1796875,28950,3.25900999644897,3.03062296574463,1.64846193644431,2.43835710134309,2.09244972080148,2.52062946864192,0.739810909159381,0.896921351967598,2.07534212517947,0.873282230932619,1.23865888182362,55606.3984375,7,1,"0","501T","young",7,1,"lib190910","H2"
"19","501T_d42_INX_501T_d42_001_017.fcs","A1",87714.234375,81309.796875,70698,46249.58984375,92668.859375,32708,3.10583838833235,3.07060514321643,1.89528711935068,2.20797072461382,1.55074160579065,2.43077481403514,0.902802691019948,0.719579009595087,2.1013147625062,0.784612177894674,1.2810762589953,1392.59997558594,0,0,"42","501T","young",0,0,"lib190910","A3"
